No pez,ID pez,peso 3,Long,ASDA,IEDA,ASFA,IEFA,FAC,TAC,FANE,TANE,glucosa (mmol/L),lactosa (mmol/L),cortisol (ng/mL),glucosa (mmol/L),lactosa (mmol/L),cortisol (ng/mL),opercula,ojo-ojo,ojo,boca,agalla,aleta,nariz,ojo-cachete,poro-aleta,ancho,ojo-agalla,agalla-nariz,agalla-boca,c_style
1,6CE3563,133,23.5,0,0,1,7,128,3,200,13,12.265,14.967,41.121,19.958,23.411,81.89,3,0.32,40.85,0.7,1.64,0.83,0.98,0.66,3.91,4.93,1.5,2.72,1.95,0
2,659EF32,530,32,23,2,17,39,39,48,44,77,4.737,17.543,21.663,20.084,31.08,33.848,146,0.3,55.48,0.86,1.66,1.32,1.2,0.51,5.39,6.46,1.57,3.28,2.59,1
3,6CE399C,266.7,28,44,12,14,19,4,79,170,6,3.859,17.057,21.434,6.633,22.785,16.883,24,0.39,51.42,0.58,1.61,0.96,1.2,0.57,4.91,6.69,1.74,3.38,2.63,0
4,6C96944,122,22,4,2,15,35,13,70,5,54,2.534,15.135,20.237,6.633,28.562,54.855,66,0.19,32.5,0.71,1.19,0.93,0.93,0.41,3.8,5.02,1.48,2.79,2.02,0
5,61B1D0D,536,32,6,12,11,10,6,66,37,32,3.038,19.51,31.193,5.297,20.699,70.679,9,0.28,49.79,0.64,1.54,0.8,1.18,0.58,4.93,5.75,1.57,3.2,2.23,0
6,6CE4888,331,27,40,25,9,26,6,52,191,2,3.627,19.351,20.722,4.863,26.648,46.266,109,0.27,52.35,0.63,1.86,0.95,1.3,0.66,4.94,6.13,1.57,3.05,2.41,0
7,6C974F2,323.6,29,0,0,17,44,5,38,13,11,4.17,19.617,17.841,5.209,37.325,174.084,98,0.25,37.22,0.51,1.42,1.21,1.09,0.53,4.59,6.06,1.65,3.04,2.28,0
8,6C99076,254.5,26,47,6,13,17,300,0,264,4,2.004,19.115,18.773,5.94,23.012,142.195,21,0.43,40.03,0.65,1.3,1.1,1.07,0.83,4.93,6.87,1.34,3,2.46,0
9,6CE36E1,212.3,25,22,14,27,56,300,0,300,0,3.519,15.811,18.314,4.705,32.14,58.228,85,0.18,58.25,0.72,1.84,1.14,1.41,0.66,5.65,6.84,1.72,3.33,2.36,0
10,65A18C8,262,27.5,40,2,4,26,6,153,111,81,3.108,16.426,8.323,5.736,23.742,12.944,6,0.33,35.59,0.65,1.43,0.94,0.99,1.08,5.04,6.54,1.98,3.64,2.69,1
11,6C998BB,135.5,22.5,24,2,4,17,3,111,300,0,3.649,18.3,16.905,5.128,21.622,200.663,25,0.16,41.65,0.57,1.21,0.97,1.09,0.72,4.44,5.81,1.75,3.27,2.18,0
12,6CE4D5B,375,30,2,1,3,7,6,41,5,34,3.108,18.796,16.935,2.843,22.5,39.218,2,0.41,37.62,0.77,1.54,0.82,1.09,0.81,4.57,5.87,2.11,3.64,2.27,0
13,6CE2E39,237,26,6,3,6,23,26,44,190,8,3.258,29.553,132.757,5.391,27.058,231.4,87,0.36,56.57,0.67,1.39,0.93,1.37,0.59,4.91,5.83,1.87,3.57,2.37,0
14,6C98C24,293,27.5,28,9,14,26,27,152,7,35,2.757,26.34,16.939,4.697,23.662,41.459,18,0.42,47.92,0.82,1.55,0.99,1.11,0.62,4.56,5.91,1.67,3.21,2.23,0
15,65AOC7F,56.7,16.5,0,0,15,23,300,0,23,21,3.292,26.465,33.774,6.376,23.218,265.678,99,0.47,44.03,0.41,1.35,0.57,1.16,0.46,4.06,4.78,1.42,2.94,1.9,0
16,64E82A7,84.8,19,44,2,12,23,19,87,11,9,3.974,26.978,30.892,4.786,28.311,49.79,16,0.24,49.78,0.6,1.55,0.78,1.19,0.66,4.38,5.58,1.54,2.96,2.04,0
17,6C99E9D,433.5,31,35,19,2,25,12,90,212,7,3.267,27.491,42.387,5.225,26.215,53.125,36,0.44,44.2,0.5,1.4,0.97,1.12,0.53,4.56,5.82,1.81,3.39,2.36,1
18,659E4BB,302,27.5,0,0,10,23,147,21,273,2,4.111,19.298,103.173,4.092,20.084,136.326,11,0.32,36.94,0.54,1.57,1.01,1.16,0.64,4.84,6.05,1.72,3.22,2.3,0
19,61B353A,87.1,19.5,9,11,20,35,106,2,3,5,2.511,13.919,104.146,5.393,29.519,120.811,1,0.15,38.68,0.48,1.23,0.56,0.83,0.56,3.58,4.56,1.34,2.61,1.78,0
20,64EB7A2,294.5,30,1,0,13,19,135,99,244,29,4.462,18.192,45.137,2.759,26.853,92.104,121,0.22,25.83,0.54,1.34,0.79,1.1,0.41,4.13,5.13,1.44,2.91,2.06,1
21,61B0550,339,29,32,6,15,13,9,107,18,61,2.262,21.155,18.962,4.047,21.748,36.141,137,0.43,46.6,0.76,1.07,1.08,0.92,0.48,4.38,6.02,1.79,3.42,2.33,0
22,65A162D,206,23.5,46,5,13,28,8,167,164,3,2.452,23.468,19.143,3.996,24.745,28.009,154,0.44,30.98,0.65,1.16,0.09,1.1,0.49,4.54,5.84,1.48,3.15,2.23,1
23,659E599,220,26.5,2,0,3,5,26,45,5,9,2.457,14.796,19.424,6.917,21.383,123.535,32,0.31,30.51,0.5,1.23,0.87,0.99,0.39,4.03,5.2,1.42,2.84,1.96,0
24,659E73C,86.8,19,2,2,16,38,37,29,14,26,2.428,12.164,19.76,6.756,24.289,94.514,35,0.22,31.41,0.54,1.4,0.9,0.99,0.58,3.94,4.7,1.46,2.86,1.94,0
25,64EB729,179,24,44,9,10,24,300,0,177,11,1.602,17.258,14.222,4.438,39.526,19.926,8,0.19,33.01,0.49,1.39,0.78,0.94,0.46,3.79,5.2,1.45,2.75,1.88,1
26,6E69EB1,44,18.5,0,0,4,5,300,0,243,36,2.369,14.705,15.439,5.736,28.949,21.127,63,0.37,38.31,0.51,1.13,0.59,0.81,0.49,3.73,4.59,1.46,2.86,1.98,0
